Rk,Name,PlayerID,,,,Age,Tm,Lg,G,PA,ABâ–_,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,PosÂ Summary
331,GregÂ Norton#,nortogr01,,,,27,CHW,AL,71,231,201,25,49,6,1,6,28,1,0,26,47,0.244,0.333,0.373,0.706,78,75,2,2,0,2,0,53/D
332,MartyÂ Cordova,cordoma01,,,,30,TOR,AL,62,221,200,23,49,7,0,4,18,3,2,18,35,0.245,0.317,0.34,0.657,65,68,6,3,0,0,0,79D
333,JoeÂ Oliver,olivejo01,,,,34,SEA,AL,69,219,200,33,53,13,1,10,35,2,1,14,38,0.265,0.313,0.49,0.803,105,98,6,0,5,0,1,2/3D
334,JuanÂ Pierre*,pierrju01,,,,22,COL,NL,51,219,200,26,62,2,0,0,20,7,6,13,15,0.31,0.353,0.32,0.673,57,64,2,1,4,1,0,8
335,JoseÂ Nieves,nievejo01,,,,25,CHC,NL,82,213,198,17,42,6,3,5,24,1,1,11,43,0.212,0.251,0.348,0.6,52,69,8,0,2,2,1,56/4
336,ErubielÂ Durazo*,durazer01,,,,26,ARI,NL,67,233,196,35,52,11,0,8,33,1,0,34,43,0.265,0.373,0.444,0.817,103,87,3,1,0,2,2,3
337,MannyÂ Alexander,alexama02,,,,29,BOS,AL,101,209,194,30,41,4,3,4,19,2,0,13,41,0.211,0.261,0.325,0.586,46,63,0,0,2,0,0,56/4D
338,CalvinÂ Murray,murraca01,,,,28,SFG,NL,108,229,194,35,47,12,1,2,22,9,3,29,33,0.242,0.348,0.345,0.693,82,67,0,3,2,1,0,7-Aug
339,RussellÂ Branyan*,branyru01,,,,24,CLE,AL,67,220,193,32,46,7,2,16,38,0,0,22,76,0.238,0.327,0.544,0.871,115,105,2,4,0,1,1,D79/5
340,BillÂ Haselman,haselbi01,,,,34,TEX,AL,62,210,193,23,53,18,0,6,26,0,1,15,36,0.275,0.329,0.461,0.79,97,89,1,1,0,1,0,2
341,ShaneÂ Andrews,andresh01,,,,28,CHC,NL,66,222,192,25,44,5,0,14,39,1,1,27,59,0.229,0.329,0.474,0.803,102,91,9,2,0,1,1,3-May
342,MarkÂ Smith,smithma03,,,,30,FLA,NL,104,213,192,22,47,8,1,5,27,2,0,17,54,0.245,0.31,0.375,0.685,77,72,2,2,0,2,1,79/D
343,AndyÂ Tracy*,tracyan01,,,,26,MON,NL,83,218,192,29,50,8,1,11,32,1,0,22,61,0.26,0.339,0.484,0.824,103,93,3,2,0,2,1,53
344,WaltÂ Weiss#,weisswa01,,,,36,ATL,NL,80,227,192,29,50,6,2,0,18,1,1,26,32,0.26,0.353,0.313,0.665,71,60,2,3,3,3,1,6
345,RamonÂ Martinez,martira03,,,,27,SFG,NL,88,210,189,30,57,13,2,6,25,3,2,15,22,0.302,0.354,0.487,0.841,117,92,6,1,4,1,1,64/35
346,WendellÂ Magee,mageewe01,,,,27,DET,AL,91,198,186,31,51,4,2,7,31,1,0,10,28,0.274,0.31,0.43,0.74,90,80,7,0,0,1,0,97/8D
347,RicoÂ Brogna*,brognri01,,,,30,TOT,MLB,81,199,185,20,43,17,0,2,21,1,0,10,41,0.232,0.278,0.357,0.635,59,66,5,2,1,1,1,3/D
348,AlbertoÂ Castillo,castial01,,,,30,TOR,AL,66,211,185,14,39,7,0,1,16,0,0,21,36,0.211,0.287,0.265,0.552,40,49,3,0,2,3,0,2
349,ClayÂ Bellinger,bellicl01,,,,31,NYY,AL,98,209,184,33,38,8,2,6,21,5,0,17,48,0.207,0.288,0.37,0.658,66,68,1,5,1,2,1,84573/69
350,MarkÂ Lewis,lewisma01,,,,30,TOT,MLB,82,198,182,20,46,18,0,2,24,7,2,13,34,0.253,0.305,0.385,0.689,77,70,6,1,1,1,0,546/D
351,LuisÂ Matos,matoslu01,,,,21,BAL,AL,72,201,182,21,41,6,3,1,17,13,4,12,30,0.225,0.281,0.308,0.589,53,56,7,3,2,2,0,89/D7
352,JeffÂ Reboulet,rebouje01,,,,36,KCR,AL,66,212,182,29,44,7,0,0,14,3,1,23,32,0.242,0.325,0.28,0.605,54,51,8,0,6,1,0,45/6D
353,RussÂ Davis,davisru01,,,,30,SFG,NL,80,192,180,27,47,5,0,9,24,0,3,9,29,0.261,0.302,0.439,0.741,90,79,1,2,0,1,0,5/3D
354,JerryÂ Hairston,hairsje02,,,,24,BAL,AL,49,212,180,27,46,5,0,5,19,8,5,21,22,0.256,0.353,0.367,0.719,87,66,8,6,5,0,0,4
355,ToddÂ Dunwoody*,dunwoto01,,,,25,KCR,AL,61,195,178,12,37,9,0,1,23,3,0,8,42,0.208,0.238,0.275,0.514,29,49,4,1,2,6,0,87D/9
356,JolbertÂ Cabrera,cabrejo02,,,,27,CLE,AL,100,187,175,27,44,3,1,2,15,6,4,8,15,0.251,0.29,0.314,0.605,53,55,1,2,1,1,0,9874/6D
357,BobÂ Smith,smithbo06,,,,26,TBD,AL,49,191,175,21,41,8,0,6,26,2,2,14,59,0.234,0.293,0.383,0.676,72,67,6,1,0,1,1,5-Apr
358,JoseÂ Macias#,maciajo01,,,,28,DET,AL,73,196,173,25,44,3,5,2,24,2,0,18,24,0.254,0.328,0.364,0.692,80,63,3,1,4,0,0,45/98D6
359,MikeÂ Mordecai,mordemi01,,,,32,MON,NL,86,183,169,20,48,16,0,4,16,2,2,12,34,0.284,0.335,0.45,0.785,94,76,1,1,1,0,0,56/43
360,HalÂ Morris*,morriha02,,,,35,TOT,MLB,99,204,169,24,47,9,1,3,14,0,0,31,26,0.278,0.391,0.396,0.788,103,67,6,1,2,1,4,3/D79
361,BruceÂ Aven,avenbr01,,,,28,TOT,NL,81,176,168,20,42,11,0,7,29,2,3,8,39,0.25,0.284,0.44,0.725,81,74,4,0,0,0,0,79/8
362,TonyÂ Graffanino,graffto01,,,,28,TOT,AL,70,194,168,33,46,6,1,2,17,7,4,22,27,0.274,0.363,0.357,0.72,83,60,2,2,1,1,0,465/D
363,TerryÂ Jones#,joneste02,,,,29,MON,NL,108,181,168,30,42,8,2,0,13,7,2,10,32,0.25,0.292,0.321,0.614,53,54,3,0,3,0,1,78/9
364,MattÂ LeCroy,lecroma01,,,,24,MIN,AL,56,190,167,18,29,10,0,5,17,0,0,17,38,0.174,0.254,0.323,0.577,43,54,6,2,1,3,2,2/3D
365,RobÂ Ducey*,duceyro01,,,,35,TOT,MLB,117,198,165,26,32,5,1,6,26,1,0,31,49,0.194,0.318,0.345,0.664,68,57,1,0,0,2,1,7/D98
366,BernardÂ Gilkey,gilkebe01,,,,33,TOT,MLB,74,185,164,17,29,6,1,3,15,0,0,17,28,0.177,0.265,0.28,0.545,37,46,8,3,0,1,2,9/7D
367,WiltonÂ Veras,veraswi01,,,,22,BOS,AL,49,179,164,21,40,7,1,0,14,0,0,7,20,0.244,0.278,0.299,0.577,45,49,2,2,3,3,0,5
368,RobertÂ Fick*,fickro01,,,,26,DET,AL,66,188,163,18,41,7,2,3,22,2,1,22,39,0.252,0.34,0.374,0.715,86,61,4,1,0,2,2,32D
369,MarlonÂ Anderson*,anderma02,,,,26,PHI,NL,41,174,162,10,37,8,1,1,15,2,2,12,22,0.228,0.282,0.309,0.59,49,50,5,0,0,0,0,4
370,BrantÂ Brown*,brownbr01,,,,29,TOT,NL,95,178,162,11,28,7,0,5,16,3,1,13,62,0.173,0.237,0.309,0.546,39,50,3,1,1,1,0,73/89
371,FernandoÂ Seguignol#,seguife01,,,,25,MON,NL,76,175,162,22,45,8,0,10,22,0,1,9,46,0.278,0.326,0.512,0.838,105,83,5,3,0,1,0,379/D
372,ToddÂ Pratt,prattto02,,,,33,NYM,NL,80,190,160,33,44,6,0,8,25,0,0,22,31,0.275,0.378,0.463,0.84,115,74,5,5,2,1,1,2/D
373,JamesÂ Mouton,moutoja01,,,,31,MIL,NL,87,197,159,28,37,7,1,2,17,13,4,30,43,0.233,0.363,0.327,0.69,79,52,5,3,4,1,0,87/9
374,RandyÂ Winn#,winnra01,,,,26,TBD,AL,51,190,159,28,40,5,0,1,16,6,7,26,25,0.252,0.362,0.302,0.664,73,48,2,2,2,1,0,78/D
375,GaryÂ Matthews#,matthga02,,,,25,CHC,NL,80,175,158,24,30,1,2,4,14,3,0,15,28,0.19,0.264,0.297,0.562,44,47,2,1,1,0,1,78/9
376,DevonÂ White#,whitede03,,,,37,LAD,NL,47,168,158,26,42,5,1,4,13,3,6,9,30,0.266,0.31,0.386,0.696,79,61,3,1,0,0,0,8
377,KurtÂ Abbott,abbotku01,,,,31,NYM,NL,79,173,157,22,34,7,1,6,12,1,1,14,51,0.217,0.283,0.389,0.672,71,61,2,1,0,1,2,64/58
378,AdamÂ Piatt,piattad01,,,,24,OAK,AL,60,182,157,24,47,5,5,5,23,0,1,23,44,0.299,0.392,0.49,0.883,126,77,1,1,1,0,0,95D/73
379,AlexÂ Arias,ariasal01,,,,32,PHI,NL,70,180,155,17,29,9,0,2,15,1,0,16,28,0.187,0.271,0.284,0.555,41,44,1,3,3,3,2,65/4
380,MiltonÂ Bradley#,bradlmi01,,,,22,MON,NL,42,172,154,20,34,8,1,2,15,2,1,14,32,0.221,0.288,0.325,0.613,53,50,3,1,1,1,0,8
381,JoeÂ McEwing,mcewijo01,,,,27,NYM,NL,87,169,153,20,34,14,1,2,19,3,1,5,29,0.222,0.248,0.366,0.614,55,56,2,1,8,2,0,7548/96
382,KevinÂ Sefcik,sefcike01,,,,29,PHI,NL,99,171,153,15,36,6,2,0,10,4,2,13,19,0.235,0.3,0.301,0.601,53,46,4,2,1,2,0,78/9D
383,CraigÂ Counsell*,counscr01,,,,29,ARI,NL,67,177,152,23,48,8,1,2,11,3,3,20,18,0.316,0.4,0.421,0.821,105,64,4,2,1,1,0,45/6
384,DarrenÂ Bragg*,braggda01,,,,30,COL,NL,71,169,149,16,33,7,1,3,21,4,1,17,41,0.221,0.296,0.342,0.638,47,51,3,0,0,3,1,9-Jul
385,BenÂ Petrick,petribe01,,,,23,COL,NL,52,173,146,32,47,10,1,3,20,1,2,20,33,0.322,0.401,0.466,0.867,100,68,1,2,1,4,2,2
386,MattÂ Walbeck#,walbema01,,,,30,ANA,AL,47,155,146,17,29,5,0,6,12,0,1,7,22,0.199,0.24,0.356,0.596,48,52,2,1,1,0,0,2/3D
387,FrankÂ Menechino,menecfr01,,,,29,OAK,AL,66,169,145,31,37,9,1,6,26,1,4,20,45,0.255,0.345,0.455,0.8,105,66,1,1,1,2,0,4/65D1
388,JorgeÂ Fabregas*,fabrejo01,,,,30,KCR,AL,43,152,142,13,40,4,0,3,17,1,0,8,11,0.282,0.32,0.373,0.693,73,53,1,0,2,0,1,2/D
389,GreggÂ Jefferies#,jeffegr01,,,,32,DET,AL,41,160,142,18,39,8,0,2,14,0,2,16,10,0.275,0.344,0.373,0.717,87,53,7,0,0,2,1,34/5D7
390,F.P.Â Santangelo#,santaf.01,,,,32,LAD,NL,81,177,142,19,28,4,0,1,9,3,2,21,33,0.197,0.322,0.246,0.568,51,35,5,6,6,2,0,87/49
391,BrianÂ Hunter,huntebr01,,,,32,TOT,NL,87,160,140,14,30,5,0,8,23,0,1,20,39,0.214,0.313,0.421,0.734,83,59,2,0,0,0,1,3/79D
392,RaulÂ Ibanez*,ibanera01,,,,28,SEA,AL,92,156,140,21,32,8,0,2,15,2,0,14,25,0.229,0.301,0.329,0.63,64,46,1,1,0,1,1,97/D3
393,TomasÂ Perez#,perezto03,,,,26,PHI,NL,45,152,140,17,31,7,1,1,13,1,1,11,30,0.221,0.278,0.307,0.585,48,43,3,0,1,0,2,6
394,MarcusÂ Jensen#,jensema01,,,,27,MIN,AL,52,164,139,16,29,7,1,3,14,0,1,24,36,0.209,0.325,0.338,0.663,66,47,3,0,1,0,0,2/D
395,RamonÂ Castro,castrra01,,,,24,FLA,NL,50,157,138,10,33,4,0,2,14,0,0,16,36,0.239,0.318,0.312,0.63,65,43,1,1,0,2,7,2
396,MattÂ Franco*,francma01,,,,30,NYM,NL,101,157,134,9,32,4,0,2,14,0,0,21,22,0.239,0.34,0.313,0.653,70,42,3,0,1,1,3,35/7D4
397,ThomasÂ Howard#,howarth01,,,,35,STL,NL,86,141,133,13,28,4,1,6,28,1,0,7,34,0.211,0.255,0.391,0.646,60,52,3,1,0,0,0,9/7D3
398,ReyÂ Ordonez,ordonre01,,,,29,NYM,NL,45,155,133,10,25,5,0,0,9,0,0,17,16,0.188,0.278,0.226,0.504,32,30,4,0,4,1,2,6
399,DaveÂ Magadan*,magadda01,,,,37,SDP,NL,95,166,132,13,36,7,0,2,21,0,0,32,23,0.273,0.41,0.371,0.781,107,49,4,0,0,2,1,5/3D6
400,FelipeÂ Crespo#,crespfe01,,,,27,SFG,NL,89,150,131,17,38,6,1,4,29,3,2,10,23,0.29,0.351,0.443,0.794,105,58,3,4,2,3,2,73/94D
401,BenÂ Davis#,davisbe01,,,,23,SDP,NL,43,148,130,12,29,6,0,3,14,1,1,14,35,0.223,0.297,0.338,0.635,66,44,2,0,3,1,1,2/D
402,JeffÂ Huson*,husonje01,,,,35,CHC,NL,70,144,130,19,28,7,1,0,11,2,1,13,9,0.215,0.287,0.285,0.571,47,37,6,0,1,0,1,546/3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Provided by <a href=""https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"">Baseball-Reference.com</a>: <a href=""https://www.baseball-reference.com/leagues/MLB/2000-standard-batting.shtml?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#players_standard_batting"">View Original Table</a><br>Generated 11/29/2018.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
